lang,user_screen_name,text,sent
en,toasty_mellow,@SamsungMobile you made it way too easy to take screenshots on the galaxy. I take screenshots of my background everyday 😩,-1
en,tankbro0,@SamsungMobile I Found Samsung Galaxy Tab S6 https://t.co/ZPcUL31Tfk,0
en,cobby__jones,RT @angry__pacifist: @SamsungMobile Note 10 https://t.co/JosCulJtnb,0
en,angry__pacifist,@SamsungMobile Note 10 https://t.co/JosCulJtnb,0
en,AndyJBarker,@SamsungMobile please could you tell me when and where I'll be able to buy a Xcover Fieldpro in the UK ?,0
en,Jelly_202089,@SamsungMobile @SamsungUS @SamsungMobileUS  I am now finding out that the red and pink colors are options for the Notes. I went to your site to look at them and can’t find them. @TMobile looks like a great opportunity missed in carrying the pink one for your store colors. https://t.co/bhTEvlnaqx,0
en,neener4,@SamsungMobile I have the new Samsung 10 and now I can't receive text messages from anyone with and iphone.,-1
en,Shobhon88,@SamsungMobile I keep seeing reviews about samsung flex and ion but when are they coming out?,0
en,ErikHuibregtse,@SamsungMobile knock it off! Please let me delete/disable this crap. https://t.co/MHj0v9eBBk,-1
en,life_of_flaco,@SamsungMobile @SamsungMobileUS @Samsung Pls when is the expected relaease date for Android X(10) OS Update for Samsung Mobiles??,0
en,StonykRichie,"@SamsungMobile Please I need a #SamsungGalaxyS6, is 2020 so everything should change ok. Please how much is the price?
 #2020NewYear",0
en,sammiejo9696,@SamsungMobile hey when are you gonna follow the trend of all of the other mobile devices and get a nonbinary emoji line.,0
en,givforks,@SamsungMobile @Mattcabb @gemmacorrell 🎄 Cute,1
en,GustavoFRGomes,@SamsungMobile what the heck is happening with Note 9? If I connect it via type-c to type-c cable the MTP Application opens and the phone keeps waking the screen and displaying the charging animation (taking longer to charge of course).,-1
en,ericroy121,@SamsungMobile @SamsungRussia hey Samsung my phone went like this after downloading some update ? Can anyone help ! 😕😕😕 way to start the new year .😕😕😕 https://t.co/RayispaVW6,-1
en,TenguKakuzu,@SamsungMobile @SamsungSupport Why aren't messages I reply to thru the quick reply window marked read anymore on my ATT S9??? Also why do I get a new notification alert when my reply sends like I got another message?,-1
en,softygal27,"@SamsungMobile hey! Just got a samsung galaxy s10 + and my phone is in secure location meaning it is unlocked when it's there, however this evening its asking for my pin even tho I'm at a secure location. My location sharing is on too. Please help. #samsung",-1
en,ronitroyri,"RT @roninfinitech: @SamsungMobile The winners have arrived! Congratulations to everyone who bagged an award this year!

 Award 4 -

ASUS Ze…",0
en,ronitroyri,"RT @roninfinitech: @SamsungMobile The winners have arrived! Congratulations to everyone who bagged an award this year!

 Award 3 -

Tesla C…",0
en,ronitroyri,"RT @roninfinitech: @SamsungMobile The winners have arrived! Congratulations to everyone who bagged an award this year!

 Award 2 -

ASUS RO…",0
en,chillywillycuti,@SamsungMobile get this kid a tablet and some internet so he can do his work! #goodkidsmatter https://t.co/uDQ4JXESVn,0
en,andrewcarr_,@SamsungMobile wtf is this garbage update for the S8? How tf do I revert back? Or just revert back to iPhone?,-1
en,icthebrand,@SamsungMobile u the real MVP https://t.co/raNqDz8jvh,1
en,Huh43933570,"@SamsungMobile @SamsungMobileUS Your latest update just deleted ALL photo tags. Another bug prevent adding multi-word tags because it prepends any word with illegal char #. This broke photo organization and search ability, and it is UNACCEPTABLE!",-1
en,alfredopacosta,@SamsungMobile I can use one of these.,1
en,TesteeJo,"@SamsungMobile @Samsung bring in a ""Pro video mode"" on your very limited stock camera app!",0
en,TesteeJo,"@SamsungMobile please unlock APIs on all Galaxy devices.

Learn from Apple &amp; google..

Our devices let us use all the features how and where we want. 

#Freethefeatures",-1
en,TesteeJo,"@SamsungMobile can you please take notes from Apple and unlock APIs on all Galaxy devices. Want more control of camera. 

Signed: a very unhappy customer.",-1
en,revivalarc,@SamsungMobile you guys dropped the ball on not including a high refresh display in the Note 10 plus. What were you guys thinking,-1
en,McIrish1980,"@SamsungMobile very disappointed with the customer service received,  been a loyal customer for year ,both personal and business and been let down over £160 fault with a pcb board in a watch",-1
en,bagarwal78,"@SamsungMobile @Mattcabb @gemmacorrell Samsung M40 is the winner of this era. Its superb and highly secured.
No one can breach the security of M40 till the earth ends. Awesome phone.
Such phone doesn't requires any updates.
No security patch needed.

#worst @SamsungIndia Thanks for making M40 and fools people.",0
en,gabrielSaraiva,"@SamsungMobile please, stop modifying Android so much that we barelly know how to use it. I came from Motorola and loved the S10 hardware, but the software... Every dam app replaced for a lower quality version than Android already have. Even the configuration menu...No. Thank you",-1
en,PussyCatsGoMeow,@SamsungMobile @Mattcabb @gemmacorrell Can we get some fold screens to please🙏🤔,0
en,okolitsny,@SamsungMobile @Mattcabb @gemmacorrell I want andoid 10 in my s9 plus and A 50,0
en,Zionman07,@SamsungMobile @Mattcabb @gemmacorrell They look weird to me,-1
en,talhamid,@SamsungMobile @Mattcabb @gemmacorrell Please push Android 10 to  my Note 10+ (SM-G975U1) first!,0
en,gtaelbordo,@SamsungMobile @Mattcabb @gemmacorrell they should do more minimalistix,0
en,DramaTweetBrad,@SamsungMobile I tried my find my device but the battery wasn’t that great any chance you can track via IMEI number,0
en,Techtology_,"@SamsungMobile Every tech bloggers(except some) giving their so call opinion on Samsung flagship and comparing with other brands for WF display &amp; 90hz in Q3 &amp; Q4, that Samsung is so behind on latest tech innovation but at last Everyone giving Awards to Samsung flagships",0
en,abhinavsnh,@SamsungMobile  hi I am using Samsung s10 in India  which I purchased from Japan ( au carrier). When can I expect Android 10 update on this device.,0
en,sandipsaurav14,@SamsungMobile  my first touchscreen phone 😊 @SamsungIndia https://t.co/bqmZBDHf0i,1
en,abhi_vishnoi,"@SamsungMobile please people, whenever u buy #samsungmobile first of all check handset carefully . i purchased samsung a70s with a crack in camera , now they say physical damage we can not do anything . In a first glance no one can detect that carck , when we tilt , wo could.",-1
en,JennaannWHIPPEN,"@SamsungMobile I don't appriciate that your phone auto generated a photo ""story"" of all the photos of my DYING DOG, with the label ""HOT DOGGITY DOG""  COME ON SAMSUNG, LOW BLOW 😭😭",-1
en,letstweet2uall,"@SamsungMobile the only thing that distinguish Samsung Flagship phones from the Sea of A20 M20 P20 mate 20
And other 20s🤮🤮 .Now you want to change it just like that😡🤢 for the sake of poor marketing 🙊",-1
en,letstweet2uall,@SamsungMobile Samsung don't wanna compete with Iphones Directly with naming and they are moving on to these blizzare names like  Chinese manufacturers.Samsungs CEO should really reconcider his position Samsung do your improvements with your software and cameras not with naming😡,-1
en,digipple,"@samsungmobile is releasing an AI assistant in CES 2020""

#CES2020 #Technology #techupdates 
#Samsung #ArtificialIntelligence #News #Today #digipple https://t.co/4358CkdAsH",0
en,kevocastello,@SamsungMobile Did anyone else get multiple software updates at once on their galaxy phones? 4th time installing and restarting my phone and its still telling me theres another update to install??,-1
en,TruthYOuRstRuLy,"@SamsungMobile @SamsungIndia Hi. Looking to have latest Android based smartphone from your staple. Do I stand any chance to get it in exchange for any services which I can provide to U/any of Ur business units (in any form)? I am a CA (#entrepreneur, Fund manager, business owner) https://t.co/xEwnIWyS7b",0
en,tankbro0,@SamsungMobile I Found Samsung Galaxy Watch https://t.co/fIDjjOTIGR,0
en,GeeTerri1,@SamsungMobile  wtheck my phone doesnt want to send messages all of a sudden ? Send button doesnt want to work?,-1
en,Francis36909432,@SamsungMobile please fix this https://t.co/GUx6KgkSsU,-1
en,JAharters200,"@SamsungMobile sort your find my phone website out. bag of shit isn't working and there is no one on live chat to help either. Nothing but problems with samsungs, absolute shower of shite",-1
en,KiddFelony,@SamsungMobile Any chance on the star wars galaxy note 10 being restocked?,0
en,Uchihaesien,@SamsungMobile who ever made the ad for your galaxy A needs a promotion 20 secs and the fricken song is stuck in my head,1
en,julesmore1,@SamsungMobile what on earth is happening with the Samsung watch promo?? My claim was validated on 1st October but I have heard nothing but excuses! When will I receive my watch?,-1
en,lexxlexxsmith,"@SamsungMobile @SamsungMobileUS Plz don’t put a slow camera in the 11e like you did the 10e. If you penalized folks for choosing smaller phones, you may as well just stop making them. That way people will know the only small phone worth spending money on is the small iPhone.",-1
en,AnUNdERatedKING,@SamsungMobile why is the a10 graphics better then the a20,-1
en,AnUNdERatedKING,@SamsungMobile @Samsung can we get a remake of the a10,0
en,MansonThomas,"@SamsungMobile since last big update,g S10+ is running far more slowly. (Battery life is also poor for a 1200€ phone)",-1
en,AaronEdkins,@SamsungMobile why are the app icons getting bigger... ffs If I wanted an iphone style layout I'd of bought one,-1
en,VarmaVarma7,"@SamsungMobile @SamsungIndia l'm facing lots off issue on my samsung M30s model..
Here have call drop issue and music not properly playing its getting stop in middle of songs ...its very much irritating .
Please help out on this...",-1
en,zamora19050960,@SamsungMobile Will be released a new SmartPhone A1 Sara?,0
en,tycooperaow,"@SamsungMobile Blockchain will certainly take the win if @Apple doesn’t take advantage of blockchain technology on their platform 

https://t.co/AHPgnyXERk",0
en,Pawan75368800,@SamsungMobile  I lost my samsung mobile I had visited to samsung gallery they have denied to tracked my phone also requests the block my phone having IMEI but no help from samsung its really disappointed with Samsung?,-1
en,RaifHasan3,"@SamsungMobile maine 4 months phle A20 purchase kiya uske kuch time baad phone me issues hone lage fir service centre dikhane se sahi ho gya but abhi fir se fone problem kr rha , mujhe ab phone exchange krke diya jaye ya fir mera refund",0
en,Christo59322355,"@SamsungMobile bull shit!!
Another nondescript 'security' patch. Each time I update my phone that damn thing gets slower and less responsive. 
Can't hack a brick I suppose.",-1
en,IgnoredAlready,@SamsungMobile I want to buy the M30s but the faulty compass means that @googlemaps won't work properly when there is a lacking signal. What to do? I got info from @geekyranjit,0
en,astr0c0de,@SamsungMobile you're totally guilty. Where's OneUI 2 for my Note 10? https://t.co/Pf1kkDgh5A,0
en,DadAllOver77,@SamsungMobile @Samsung @SamsungUK I have a serious issue with the Samsung Email app. I have contacted b2b.sec@samsung.com TWICE and their responses have been contradictory and in really poor English. They don't even understand the basic issue! Please intervene!! It's dreadful...,-1
en,DazZimmer,"@SamsungMobile Had an update on a40.. now its lagging all over, everything...",-1
en,jclif6,"@SamsungMobile pls make 5.5inc screen version of your Galaxy A Series in 2020..

There are a lot of us who would love to see those awesome specs on a portable device

@androidcentral 
@Android 

#WhatsApp 
#Texas",0
en,KamleshKhollam,"@SamsungMobile @SamsungIndia 

How to solve Temperature too low problem.

I approached one of your Service Center in #Pune . They suggested me to replace motherboard costing INR 9000 (for Samsung A6 which I bought for INR 15000 approx=.

Is there any cost effective solution.",0
en,mrsshinde,"@SamsungMobile @Moto @oneplus @Vivo_India @oppo @Microsoft @Apple  we must work to save safeguard humans from mobile screen radiation, mobile heating &amp; waves radiations. Even Honeybee or sparrows must survive with mobile 5g~7g technology. Save earth save mankind  @UNEP @ABC @TIME https://t.co/S9peJuwc4L",0
en,GayariVimal,"@SamsungMobile worst  experiences with Samsung this time bought a new smartphone on dusherra Samsung GalaxyA50 6gb in October it has charging issue went to ser. ctr. They changed some parts and now the same problem is there again is this what you sell... that's my life last...

.",-1
en,pitso_mashile,"@SamsungMobile Hi. I have just updated my S10 to Android 10, and the Samsung pay has stopped working..... Can't open",-1
en,MRBlasterrahul,"@SamsungMobile @SamsungIndia i have big problem with your phone after your last update i am facing big problem in phone speaker, my phone aromatically switch off, sometimes apps automatically shutdown and tooo....many problem.
i was visited too many times in your service centre.",-1
en,gsgonz22,@SamsungMobile what does the blue dot by contact mean?,0
en,NagleAniruddha,@SamsungMobile @SamsungIndia I baught samsung A20 phone on 29th June 19 but last 2 days ot has an issue when its screen is off and try to on by clicking power button it starts to flicker and screen takes atleast a minute to awake the screen please provide solution,-1
en,sandrochichi1,"@SamsungMobile Can't you guys add Samsung Pay for Georgia? (the country) It's such an unsatisfactory, to have an app like that and don't have access to it. #SamsungPay",-1
en,KaceloVernon,@SamsungMobile so how many retweets for an S10 plus?🥺,0
en,kranthigyara,@SamsungMobile focous on ur logo..,0
en,kranthigyara,"@SamsungMobile try to design QHD display 5.8 inches ,Snapdragon 855 processor ...with 4000 mah fast charging .macanisam camera.",0
en,R3DMIDNIGHT,@SamsungMobile can't find mindfullness action in samsung health...can you help me ? Thanks https://t.co/Zb10tPNoxc,0
en,_maathps,"@SamsungMobile Let me suggest y'all something: according to the last leaks, your new ""Galaxy S11"" (or ""Galaxy S20"" according to rumors) have 3 cameras, 1 tof sensor, a flash and a blank space in the corner. So why don't you put a flash with a bar layout, filling the space and giving us + light?",0
en,StaggersonJagz,"@SamsungMobile ""bills"" is a pretty common word",0
en,Dncmaster,@SamsungMobile Do I need Bluetooth 5.0 to be able to use the Galaxy Buds?,0
en,larrytolman,"@SamsungMobile I just upgraded to Android 10, will you be bringing back ""S Translator"" back to ANY of the stores? (Galaxy App, GooglePlay).  It cannot find it.",0
en,MojahedJobran,@SamsungMobile I swear to God  the worst fingerprints you have made that one on the Note10+😡😡😡. https://t.co/DeTyhACCGx,-1
en,p7p8p9p,@SamsungMobile After spending 65000 for Note 8  what we got is only 2 updates .sorry Samsung bye bye  switching over to iPhone 11,-1
en,soupness,"@SamsungMobile is there any way to fix an accelerometer that just stopped working in an s6 edge?
Way past warranty.",-1
en,EljayHeckman,"@SamsungMobile we had a good run but I'm going back to Team Apple. Don't worry, I'm not going to sell my Note 10 for some dirt cheap amount and cut into your bottom line. I'm gonna bury this thing wherever the department of energy buries all their nuclear waste. 

#smartphonewars",-1
en,Ashfak73,@SamsungMobile Dear Samsung iam really fed up of Samsung mobiles..now am using note 10+... i started to buy Samsung flagship mobile from s3 to note 10+ all mobiles... am fed up bcoz of u r gpu really worst gpu in all flagship mobiles... when i play pubg it drops fps n gets too much lag,-1
en,zwienzixes,@SamsungMobile please stop making your OS look more like apple I didnt want an iPhone for a reason,-1
en,AzariaLeah,"@SamsungMobile I'm very curious why was ""screen record"" removed from the game launch app. I'd like to record like normal and alas I cannot🤔",-1
en,Vignesh23876381,"@SamsungMobile 
I am using Samsung j6 I have too many bugs like the calls are automatically ended after attending the calls and screen automatically rotates even auto turn off and now ad are displayed  
While using mobile and it automatically opens the websites https://t.co/UZq44n5jEa",-1
en,qalaa15,@SamsungMobile Samsung please fix this when I take pictures on snap chat or instagram and post them people complain about the quality of them plz fix,-1
en,vignamungo,@SamsungMobile Why you have launched this watch when you haven't enough stock ? https://t.co/jf6YKwYN39,-1
en,_gadgetupdate,@SamsungMobile Hi what's the Best Screen Protector for Samsung Galaxy s10 #gadgetupdate https://t.co/y4enqJaH3s,0
en,_Kennyrich,"@SamsungMobile Bixby is really nice!
I'm really enjoying it.",1
en,Ahnyanka,@SamsungMobile removing the option to disable the bixby key with your latest software update is absolute garbage. The key is incredibly inconveniently placed. I really hate my phone now thanks.,-1
en,harsaran4,@SamsungMobile why have you stopped making phones in small sizes??? None of then fits in pocket anymore and i guess S8 was last one with suitable size. We all should keep growing bt not like this 😑,-1
en,SKD_1404,"@SamsungMobile @SamsungPayHelp @SamsungIndia

Please help on this. https://t.co/7fmDlilckD",0
en,mpatel81,"@SamsungMobile Hi having the issue in Note 10 Plus  no options to set picture quality/resolution in the photo section of the camera app settings... It is there for video, but there are NO options for photo resolution changes... Is there some other location for this ??",0
en,Mo_Sut_Ozil,"@SamsungMobile Hello. A question in regards to the most recent update rolled out across Samsung devices. Can you shed some light as to why the white led flash light, when you use face unlock to access the phone across the front facing camera has been removed?",0
en,Prashant_700,@SamsungMobile @SamsungIndia @Samsung want to buy Galaxy S10 128 GB Prism White. In whole Mumbai and suburbs it is out if stock. Why so? Very disappointed and tired.,-1
en,puneetparasharr,"@SamsungMobile please provide your service center's contact number in Noida. Unable to find it on the official website.
@SamsungIndia",0
en,voice_of_tommy,@SamsungMobile @samsungID does a30s in indonesia uses corning gorilla glass for display? Is it scratch resistant?,0
en,JangirArpit,"@SamsungMobile will there be an android update for S8? If no, then what is the reason?",0
en,RKmerica,"@SamsungMobile @SamsungMobileUS Pretty good week, minus Christmas of course... 😤😁🎄 https://t.co/wbllEONGQa",0
en,Kishan08120786,@SamsungMobile Samsung on5 pro android 7 update,0
en,yobulator,"@SamsungMobile Hi, there are scammers pretending to represent you - maybe share this around so people know what to look for. Thanks. https://t.co/Q7zdJf7RBE",0
en,Knight_X_Rook,@SamsungMobile hello I have been a samsung owner for a long time has the s6 then s6 edge then the 7 and finally almost four years later I buy the s10+ and it won't connect to the network. 3 different Sim cards and changed service providers and APN settings nothing. S7 still good.,-1
en,Awadh7898533283,"@SamsungMobile 
@SamsungIndia 
Dear Samsung Mobile team,
Whenever we take Screenshot, date should have to appear on that screen shots.
but since there is no option, kindly in Next update put Date on Status Bar.
I hope you understand me.
Thank you.",0
en,StaggersonJagz,"@SamsungMobile ""lie"" is a word. Stop trying to make my sentences into gibberish.",0
en,williamb504,"@SamsungMobile any idea when your Galaxy Note 10+ will be restocked, patiently waiting 😁",0
en,Peacesvw,"@SamsungMobile @SamsungMobileUS @nokia @MotorolaUS @Google
I've got an idea on how your company can save hundreds of lives. DM me for the address to send the check to pay for the idea.
How about a cellphone with a built in smoke sensor that activates an alarm if it detects smoke.",0
en,suchhardchoice,@SamsungMobile holy shit the S10 is amazing,1
en,woodsco123,@SamsungMobile @SamsungUK when is your Star Wars Galaxy Note going to be available in the U.K?! #starwars 🙋‍♂️,0
en,BestManHelp1,@SamsungMobile your galaxy S10 is wank. Never picks up wifi. Battery life is rubbish and I have had to Google how to stop it disconnecting from bluetooth. Headphones are shit too. Samsung vs apple is a no brainer. Apple actually works,-1
en,mrdetectivetaco,@SamsungMobile also while you are at it fix this shit with gesture hints. I can't even use gesture hints because of the terrible color determination for the bottom bar area. Pixel phones don't do this shit and I've already sent feedback and posted in the OneUI beta app. https://t.co/H5xeYWBlpq,-1
en,HonkeyRPh,"@SamsungMobile - can you rollout your RCS solution soon? I like your app better than the Google Messages app. 

Signed,
All the @SamsungMobile users in the USA.",0
en,mrdetectivetaco,@SamsungMobile This is not an acceptable response/solution to the fact that you haven't enabled gesture support for 3rd party launchers. Correct me if I'm wrong but Google enabled it in the December security patch but you guys have left it disabled for some stupid reason. https://t.co/2qGjGRDnsK,-1
en,qalaa15,@SamsungMobile Read this people Samsung need to fix!!Spread the word!Also #bring back the headphone jack https://t.co/ONBHqdRDRZ,0
en,kranthigyara,@SamsungMobile try to Design 5 8 inches QHD Display With snapdragon 855 processor and 4000 mah battry...Focus the samung logo brand,0
en,qalaa15,@SamsungMobile #bring back the headphone jack ! And please keep updating old phones like the s8 even Apple does that (updated there phones),-1
en,Baz69,@SamsungMobile new S10 5G and for the life of me I cant get auto correct to work if I type a contraction of make a spelling mistake....nothing...and everything is turned on...please help before it gets launched throuhh the window. https://t.co/dmNriUa42W,-1
en,Burning__Rabbit,@SamsungMobile  Why is your voice text terrible except when I use it now🤬,-1
en,apmmangmailcom1,"@SamsungMobile 

 Kindly look into the matter, either give me replacement or refund my money.

For refarence my phone i mantion. 9324375722  you get all call details for my phone.",0
en,apmmangmailcom1,"@SamsungMobile 

But after this also my problem is nt resolved, still I m facing same.  I have call manny time Samsung call center and no one help properly and also escalateed Samsung HO but nt response properly.
Camera also not taken proper pic. For reference i attached pic also https://t.co/NtHxPfTOJA",0
en,apmmangmailcom1,"@SamsungMobile
3. Function for the phone was not up to the mark as company mentioned, it's keep hanging and need to restart again again. 
So on 5times till date went to Samsung service center and gave phone  for repairing, they changed battery and PBA.",0
